,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
45,1900046,CID 1900046,C1=CC=C(C=C1)[C@H]2[C@@H]([C@](NC(=C2C#N)SCC(=O)N)(C3=CC=C(C=C3)Br)O)[N+]4=CC=CC(=C4)O,,,,,,
46,1900047,"2-phenyl-1-(4,4,8-trimethyl-1-thioxo-1,4-dihydro-5H-[1,2]dithiolo[3,4-c]quinolin-5-yl)ethanone",CC1=CC2=C(C=C1)N(C(C3=C2C(=S)SS3)(C)C)C(=O)CC4=CC=CC=C4,,,,,,
47,1900048,CID 1900048,CCCCNC1=[N+](C2=C(N1)N(C(=O)N(C2=O)C)C)CC3=CC(=CC=C3)OC,,,,,,
48,1900049,"1-ethyl-6-fluoro-N-(2-fluorobenzyl)-7-[4-(furan-2-ylcarbonyl)piperazin-1-yl]-4-oxo-1,4-dihydroquinoline-3-carboxamide",CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=O)C4=CC=CO4)F)C(=O)NCC5=CC=CC=C5F,,,,,,
49,1900050,"N-[(4-amino-1,2,5-oxadiazol-3-yl)-(4-methylpiperazin-4-ium-1-yl)methylidene]hydroxylamine",C[NH+]1CCN(CC1)C(=NO)C2=NON=C2N,,,,,,
50,1900051,benzyl 2-[[(Z)-2-(furan-2-carbonylamino)-3-phenylprop-2-enoyl]amino]acetate,C1=CC=C(C=C1)COC(=O)CNC(=O)/C(=C/C2=CC=CC=C2)/NC(=O)C3=CC=CO3,,,,,,
51,1900052,"5-Ethylsulfanyl-4-phenyl-11-propan-2-yl-8-thia-4,6-diaza-11-azoniatricyclo[7.4.0.02,7]trideca-1(9),2(7),5-trien-3-one",CCSC1=NC2=C(C3=C(S2)C[NH+](CC3)C(C)C)C(=O)N1C4=CC=CC=C4,,,,,,
52,1900053,"2-(ethylsulfanyl)-3-phenyl-7-(propan-2-yl)-5,6,7,8-tetrahydropyrido[4',3':4,5]thieno[2,3-d]pyrimidin-4(3H)-one",CCSC1=NC2=C(C3=C(S2)CN(CC3)C(C)C)C(=O)N1C4=CC=CC=C4,,,,,,
53,1900054,"N-[(4Z)-1-(2-methoxyphenyl)-2-(methylsulfanyl)-1,3-diazaspiro[4.5]dec-2-en-4-ylidene]-2,6-dimethylaniline",CC1=C(C(=CC=C1)C)N=C2C3(CCCCC3)N(C(=N2)SC)C4=CC=CC=C4OC,,,,,,
54,1900055,CID 1900055,CCCCOC(=O)CN1C(=O)C2=C(NC3=[N+]2CCN3C4=CC=C(C=C4)C)N(C1=O)C,,,,,,
55,1900056,ethyl 4-(5-{(1E)-2-cyano-3-[(4-methylphenyl)amino]-3-oxoprop-1-enyl}-2-furyl)benzoate,CCOC(=O)C1=CC=C(C=C1)C2=CC=C(O2)/C=C(\C#N)/C(=O)NC3=CC=C(C=C3)C,,,,,,
56,1900057,ethyl 4-(5-{(1Z)-2-cyano-3-[(4-methylphenyl)amino]-3-oxoprop-1-en-1-yl}furan-2-yl)benzoate,CCOC(=O)C1=CC=C(C=C1)C2=CC=C(O2)/C=C(/C#N)\C(=O)NC3=CC=C(C=C3)C,,,,,,
57,1900058,"5-butyl-N-cyclohexyl-2,2-dimethyl-1,4-dihydro-2H-pyrano[4'',3'':4',5']pyrido[3',2':4,5]thieno[3,2-d]pyrimidin-8-amine",CCCCC1=NC2=C(C3=C1COC(C3)(C)C)C4=C(S2)C(=NC=N4)NC5CCCCC5,,,,,,
58,1900059,"3-hydroxy-5-nonyl-2,5-dihydro-4H-pyrazolo[4,3-c]quinolin-4-one",CCCCCCCCCN1C2=CC=CC=C2C3=C(C1=O)C(=O)NN3,,,,,,
59,1900060,"6,7-Dimethoxy-3-methyl-2,1-benzoxathiine 1,1-dioxide",CC1=CC2=CC(=C(C=C2S(=O)(=O)O1)OC)OC,,,,,,
60,1900061,"5-(2-But-1-en-2-ylhydrazinyl)-12,12-dimethyl-4-(4-methylphenyl)-11-oxa-8-thia-4,6-diazatricyclo[7.4.0.02,7]trideca-1(9),2(7),5-trien-3-one",CCC(=C)NNC1=NC2=C(C3=C(S2)COC(C3)(C)C)C(=O)N1C4=CC=C(C=C4)C,,,,,,
61,1900062,"2-(4-Isobutoxy-benzoylamino)-5,5-dimethyl-4,7-dihydro-5H-thieno[2,3-c]thiopyran-",CCOC(=O)C1=C(SC2=C1CC(SC2)(C)C)NC(=O)C3=CC=C(C=C3)OCC(C)C,,,,,,
62,1900063,CID 1900063,CC1=CC=C(C=C1)C2=[NH+]C(=C(N2)C3=CC=CC=C3)C4=CC5=CC=CC=C5C=C4,,,,,,
63,1900064,2-(4-methylphenyl)-5-(naphthalen-2-yl)-4-phenyl-1H-imidazole,CC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=CC=C3)C4=CC5=CC=CC=C5C=C4,,,,,,
